item,quantity,category,tags,current location,weight,owner,intended location,notes,location notes,potential sell / discard
xbox original controllers,2,,,kmart box 3,,,,,,
xbox 360 controllers,4,,,kmart box 3,,,,,,
ifixit repair kit,1,,,,,,,,,
thinkpad t480,1,,,,,,,,,
aeroplane pouch,2,,,,,,,,,
tom bihn dual zip pouch,1,,,,,,,,,
tom bihn ghost whale small green,1,,,,,,,,,
ruler,1,,,,,,,,,
3 watch case,1,,,,,,,,,
a4 legal pad paper,1,,,,,,,,,
wooden pencil case,1,,,,,,,,,
sennheiser game one headphones,1,,,,,,,,,
muji a5 notebook,1,,,,,,,,tom bihn ghost whale a5 green,
spirax a5ish notepad,2,,,,,,,,tom bihn ghost whale a5 green,
tom bihn ghost whale a5 green,1,,,,,,,,,
tom bihn ghost whale a5 grey,1,,,,,,,,,
spigen iphone 13 mini magsafe case,1,,,rolex pouch,,,rolex pouch,,,
spigen iphone x case,1,,,rolex pouch,,,,,,
gameboy advance SP,1,,,rolex pouch,,,,,,
nintendo ds lite,1,,,rolex pouch,,,,,,
nintendo 3ds xl,1,,,rolex pouch,,,,,,
gameboy advance SP charger,1,,,rolex pouch,,,,,,
nintendo ds lite charger,1,,,rolex pouch,,,,,,
nintendo 3ds xl charger,1,,,rolex pouch,,,,,,
"card-pile (contains misc credit cards, etc)",2,,,TB Ghost whale grey,,,,,,"includes a couple of notes from Lily, and bitwarden 2fa recovery codes"
Lily journal,1,,,RCC pouch,,,,,,
Lily birth certificate,1,,,RCC pouch,,,,,,
Oslo 2019 polaroid photo of me,1,,,RCC pouch,,,,,,
Lily photo with Bernie (one has a note on the back),2,,,RCC pouch,,,,,,
some foreign currency including USD,1,,,RCC pouch,,,,,,
boost sim card,1,,,RCC pouch,,,,,,
Lily passport,1,,,RCC pouch,,,,,,
Pat passport,1,,,RCC pouch,,,,,,
Punchplate III crypto seed word storage ,1,,,RCC pouch,,,,,,
cogent titanium mini prybar,1,,,RCC pouch,,,,,,
sim card removal tool,2,,,RCC pouch,,,,,,
splitrings for keychain;,2,,,RCC pouch,,,,,,
travel padlocks and keys,2,,,RCC pouch,,,,,,
vietnam fake cariter love rings,2,,,RCC pouch,,,,,,
leather bracelet,1,,,RCC pouch,,,,mum got this for me in italy i believe,,
samsung t7 shield 4tb,1,,,,,,,,,
ipad mini,1,,,,,,,,,
ipad pro 12.9,1,,,,,,,,,
muji notebook a5 grey,1,,,,,,,,,
ipad pro 12.9 magic keyboard,1,,,,,,,,,
macbook pro 13 m1,1,,,,,,,,,
logitech mx maser mouse,1,,,,,,,,,
apple magic trackpad,1,,,,,,,,,
aliexpress 'bagel' watch case,3,,,,,,,,,
truthear hexa,1,,,,,,,,,
truthear gate,2,,,,,,,,,
sennheiser hd58x,1,,,desk,,,,,,
usb c to usb c cable,1,,,in studio display,,,,,,
apple usb c to 3.5mm cable,1,,,in studio display,,,,,,
apple usb c to usb a female cable,1,,,in studio display,,,,,,
leatherman sidekick pocket knife / multitool,1,,,,,,,,,
google nest mini,1,,,kmart box 2,,lily,,,,
velcro wrist strap,1,,,open wicker basket,,,,from leesa mackay physio,,
velcro wrist strap (thinner),1,,,laundry pouch (large),,,,from leesa mackay physio,,
sony wh1000xm3,1,,headphones,kmart box 2,,,,,,
evergoods CTB35,1,bags,,kmart box 1,,,,,,
evergoods CTB26,1,bags,,kmart box 1,,,,,,
evergoods CTB20,1,bags,,,,,,,,
evergoods CPL24,1,bags,,kmart box 1,,,,,,
evergoods CPL16,1,bags,,kmart box 1,,,,,,
evergoods PLC20,1,bags,,kmart box 1,,,,,,
tom bihn synik 22,1,bags,,kmart box 1,,,,,,
tom bihn yeoman duffel,1,bags,,,,,,,,
tom bihn daylight briefcase,1,bags,,,,,,,,
tom bihn packing cube shoulder bag,1,bags,,,,,,,,
tom bihn reversible stuff sack small (black),1,pouches,,amazonbasics packing cube (medium),,,,,,
tom bihn reversible stuff sack large (grey),1,pouches,,bedroom cupboard / amazonbasics packing cube (medium),,,,,,
tom bihn HLT1 bag / pouch,1,pouches,,amazonbasics packing cube (medium),,,,,,
tom bihn side effect (black),1,pouches,,amazonbasics packing cube (medium),,,,,,
tom bihn side effect (orange),1,pouches,,amazonbasics packing cube (medium),,,,,,
tom bihn internal compression straps from synik 22,1,,,amazonbasics packing cube (medium),,,,,,
crumpler brace,1,bags,,,,,,,,
evergoods CAS2 black,1,bags,,,,,,,,
evergoods CAS2 grey,1,bags,,,,,,,,
evergoods MHP3.5,1,bags,,,,,,,,
cargo works MBP13 sleeve,1,pouches,,amazonbasics packing cube (medium),,,,,,
matador travel towel (foldable),1,,,,,,evergoods CAS2 grey,,,
matador (micro) packable towel,1,,,,,,,,,
eastpak bumbag,1,bags,,,,,,,,yes
yellow lab hat,1,,,,,,,,,
black lab hat,1,,,,,,,,,
brown lab hat,1,,,,,,,,,
brooklyn nets hat,1,,,,,,,,,
fake nike vietnam hat,1,,,amazonbasics packing cube (small) - 3,,,,,,
forclaz packable 10L backpack,1,,,amazonbasics packing cube (small) - 1,,,,,,
RM Williams belt,1,,,amazonbasics packing cube (small) - 1,,,,,,
Oscar Hunt Pocket Square,1,,,amazonbasics packing cube (small) - 1,,,,,,
Aus Parliament tennis club tie,1,,,amazonbasics packing cube (small) - 1,,,,,,
wedding tie (oscar hunt),1,,,amazonbasics packing cube (small) - 1,,,,,,
tom bihn 'gatekeeper' strap,1,,,amazonbasics packing cube (small) - 1,,,,,,
tom bihn strapkeepers (pair),1,,,amazonbasics packing cube (small) - 1,,,,,,
black leather belt,1,,,amazonbasics packing cube (small) - 1,,,,,,
golden retriever blue hat,1,,,amazonbasics packing cube (small) - 2,,,,,,
carrot hat,1,,,amazonbasics packing cube (small) - 2,,,,,,
bass pro shops hat,1,,,amazonbasics packing cube (small) - 2,,,,,,
must be nice hat,1,,,amazonbasics packing cube (small) - 2,,,,,,
RF hat (cream and red),1,,,amazonbasics packing cube (small) - 2,,,,,,
beanie,1,,,amazonbasics packing cube (small) - 2,,,,,,
garnaut private wealth nike drifit hat,2,,,amazonbasics packing cube (small) - 3,,,,,,
blue fila hat,1,,,,,,,,,
RSY Shorts black,1,,,amazonbasics packing cube (small) - 4,,,,,,
RSY shorts blue,1,,,amazonbasics packing cube (small) - 4,,,,,,
RSY white shirt (black trim),2,,,amazonbasics packing cube (small) - 4,,,,,,
RSY white shirt (no black trim),2,,,amazonbasics packing cube (small) - 4,,,,,,
red nike sleeveless shirt,1,,,amazonbasics packing cube (small) - 4,,,,,,
white nike sleeveless shirt,1,,,amazonbasics packing cube (small) - 4,,,,,,
white nike shorts,1,,,amazonbasics packing cube (small) - 4,,,,,,
aus open towel 2007,1,,,amazonbasics packing cube (medium) - 1,,,,,,
ATP world tour finals towel 2016,1,,,amazonbasics packing cube (medium) - 1,,,,,,
wimbledon towel,1,,,amazonbasics packing cube (medium) - 1,,,,,,
